cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
Risks of overtightening,Fears in market chatter,Risks of overtightening contribute to market fears,"Recent market chatter has focused on when central banks will stop hiking and if they will reverse, with fears torn between the risks of overtightening and stopping too soon.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_4
Stopping too soon,Fears in market chatter,Stopping too soon contributes to market fears,"Recent market chatter has focused on when central banks will stop hiking and if they will reverse, with fears torn between the risks of overtightening and stopping too soon.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_5
Data revealing transition points,Guidance for monetary policy makers,Data helps guide policy decisions,"In general, it reflects data that reveal transition points between phases of a business cycle. This can help guide monetary policy makers with the calibration of future policy.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_6
Calibrating policy,Impact on inflation,Policy calibration affects inflation,"Calibrating policy to affect inflation is key for all, but some have to be equally mindful of how policy affects other metrics of macroeconomic performance, for example employment.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_7
Calibrating policy,Impact on employment,Policy calibration affects employment,"Calibrating policy to affect inflation is key for all, but some have to be equally mindful of how policy affects other metrics of macroeconomic performance, for example employment.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_8
Forecasts from large macroeconomic models,Identification of turning points,Forecasts help identify turning points,"One approach to identifying turning points puts substantial weight on forecasts from large macroeconomic models, because these take account of the complex inter-relationships among economic variables and policy.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_9
Policy spillovers,Uncertainties in macroeconomic outcomes,Policy spillovers add to uncertainties,Adding to these uncertainties are policy spillovers.,NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_10
Central banks' decisions,Impact on UK economic situation,Decisions affect economic conditions,"For example, as a UK monetary policy maker, I am mindful of other central banks decisions, as reflected in their assessment of their turning points, and their impact on the UK economic situation.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_11
Granular data and higher frequency assessments,Complementation of macro data and forecasts,Granular data complements macro data,"All this adds up to acknowledging that macro data and forecasts need to be complemented by a range of more granular data and higher frequency assessments of what data presage the turning points in the inflation process that represents, according to our remit, a sustainable return to the 2% target.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_12
"Trust in simple, linear, historically estimated macro-relationships",Risk of policy mistake,Trust in simple relationships risks mistakes,"Putting too much trust in simple, linear, historically estimated macro-relationships risks making a policy mistake when uncertainty is high (Mann, 2022a).",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_13
Granular data and likely asymmetries in the inflation process,Vote for a more robust monetary policy path,Data and asymmetries influence policy decisions,My reading of the more granular data and likely asymmetries in the inflation process has led me to vote for a more robust monetary policy path that stays the course because inflation dynamics have not yet been quelled.,NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_14
Mismatch between UK labour demand and supply,Stronger wage growth,Mismatch leads to stronger wage growth,"If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",NA,could,for longer,FUTURE,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_15
Stronger wage growth,Upside risk to inflation,Stronger wage growth presents risk to inflation,"If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",NA,could,for longer,FUTURE,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_16
OECD's Composite Leading Indicator,Early signals of turning points in business cycles,Indicator provides early signals,The OECDs Composite Leading Indicator (Chart 4) provides a qualitative assessment of early signals of turning points in business cycles drawing on a vast amount of underlying data.,NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_17
UK indicator's negative deviation from long-term average,Warning of recession,Negative deviation warns of recession,"A fall below the long term average indicates a negative deviation from trend, and thus warns of recession.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_18
yield curve inversion,recession expectation,Yield curve inversion is viewed as an early indicator of a recession.,"When the slope turns negative, the yield curve is said to be inverted, which is viewed by some as an early indicator of a recession.",NA,viewed by some,NA,PRESENT,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_19
central banks tightening in the short term,recession,Central banks tightening in the short term can induce a recession.,"For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession.",NA,NA,in the short term,FUTURE,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_20
central banks cutting interest rates in the future,response to a recession,Central banks cutting interest rates in the future is a response to a recession.,"For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession.",NA,NA,at some point in the future,FUTURE,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_21
"global energy, food, and goods prices stop rising",deceleration of inflation,"The deceleration of inflation comes from global energy, food, and goods prices stopping rising.","Broadly speaking, the deceleration of inflation in the forecast in 2025 comes from, on the one hand, the assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall - though not to prior levels as can be seen on the left-hand side - but also that expected weakness in demand relative to supply should discipline domestic price and wage setting.",NA,expected,NA,FUTURE,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_22
expected weakness in demand relative to supply,discipline in domestic price and wage setting,Expected weakness in demand relative to supply should discipline domestic price and wage setting.,"Broadly speaking, the deceleration of inflation in the forecast in 2025 comes from, on the one hand, the assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall - though not to prior levels as can be seen on the left-hand side - but also that expected weakness in demand relative to supply should discipline domestic price and wage setting.",NA,expected,NA,FUTURE,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_23
large fiscal stimulus in the US,inflationary surges,Large fiscal stimulus in the US caused inflationary surges.,"The US looks different first with distinct inflationary surges taking inflation to double digits, on account of large fiscal stimulus, even though the US was never as exposed to high energy prices as the rest of the world.",NA,NA,NA,PAST,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_24
jump in the Ofgem cap,spike in UK inflation in April 2022,The jump in the Ofgem cap caused a spike in UK inflation in April 2022.,The UKs headline inflation has shown a steady acceleration throughout 2021 and 2022 (with a spike in April 2022 due to the jump in the Ofgem cap).,NA,NA,NA,PAST,speech_16652_batch_1,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_25
shift up and steepness of the curve,market expectations of the path that the MPC would need to take,reflects,The shift up and steepness of the curve as well as its reversal reflect market expectations of the path that the MPC would need to take in order to meet its target.,NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_26
persistence of inflation,requirement for a period of restrictive monetary policy,necessitates,"Taken together with the evidence of the persistence of inflation as well as shifting expectations, achieving the 2% target will require a period of restrictive monetary policy.",NA,NA,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_27
shifting expectations,requirement for a period of restrictive monetary policy,necessitates,"Taken together with the evidence of the persistence of inflation as well as shifting expectations, achieving the 2% target will require a period of restrictive monetary policy.",NA,NA,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_28
unexpected increase in inflation,nominal interest rate must rise by more than one-for-one,requires,"A seemingly more direct criterion is the Taylor principle[6] That is, in response to an unexpected increase in inflation, the nominal interest rate must rise by more than one-for-one, such that the real rate increases.",NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_29
nominal interest rate rise by more than one-for-one,real rate increases,ensures,"A seemingly more direct criterion is the Taylor principle[6] That is, in response to an unexpected increase in inflation, the nominal interest rate must rise by more than one-for-one, such that the real rate increases.",NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_30
falling real rate,consumption and investment decisions become cheaper,makes,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a falling real rate ought to make these cheaper (and thereby stimulate the economy) and a rising real rate ought to make these more expensive.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_31
rising real rate,consumption and investment decisions become more expensive,makes,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a falling real rate ought to make these cheaper (and thereby stimulate the economy) and a rising real rate ought to make these more expensive.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_32
real rates fall in response to an inflationary shock,stance of monetary policy becomes more expansionary,causes,"If real rates fall in response to an inflationary shock, the stance of monetary policy actually becomes more expansionary regardless of the direction of nominal rates.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_33
nominal rates rose but never enough to offset rising inflationary momentum,real rates fell,caused,"Arguably, this is exactly what happened in the 1970s: nominal rates rose but never enough to offset the rising inflationary momentum. As a result, real rates actually fell which allowed inflation to become entrenched.",NA,Arguably,NA,PAST,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_34
real rates fell,inflation became entrenched,allowed,"Arguably, this is exactly what happened in the 1970s: nominal rates rose but never enough to offset the rising inflationary momentum. As a result, real rates actually fell which allowed inflation to become entrenched.",NA,Arguably,NA,PAST,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_35
perception of complacency about inflation,nominal expected yields may come down too soon,causes,"If we were perceived as being complacent about inflation, nominal expected yields may come down too soon, mechanically decreasing real rates, and prematurely loosening the stance of monetary policy.",NA,If,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_36
nominal expected yields come down too soon,real rates decrease,mechanically decreases,"If we were perceived as being complacent about inflation, nominal expected yields may come down too soon, mechanically decreasing real rates, and prematurely loosening the stance of monetary policy.",NA,If,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_37
real rates decrease,stance of monetary policy loosens prematurely,causes,"If we were perceived as being complacent about inflation, nominal expected yields may come down too soon, mechanically decreasing real rates, and prematurely loosening the stance of monetary policy.",NA,If,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_38
uncertainty about the degree of inflation persistence,better to assume a high degree,suggests,"If there is uncertainty about the degree of inflation persistence, it is better to assume a high degree because the costs of making a mistake if the true inflation process is more persistent are larger than if the true inflation process is less persistent.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_39
more policymakers implement policies focused on reducing carbon emissions,volatility of inflation likely to increase,causes,"As more policymakers start to implement policies focused on reducing carbon emissions, such as cap-and- trade, a carbon tax, or carbon border adjustment mechanisms, it is likely that the volatility of inflation will increase, which puts climate policy directly in focus for the price stability objective of central banks.",NA,likely,NA,FUTURE,speech_16652_batch_2,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_40
OECD CLIs,precede business cycle fluctuations,"OECD CLIs are constructed from economic time series that have similar cyclical fluctuations to those of the business cycle, but, and importantly, which precede those of the business cycle.","See the OECD Short-Term Indicators Dashboard OECD CLIs are constructed from economic time series that have similar cyclical fluctuations to those of the business cycle, but, and importantly, which precede those of the business cycle.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_41
high weight on slack in the economy by monetary policymaker,determinate price level,"If the monetary policymaker puts a high weight on slack in the economy, a weight on inflation that is less than one can still result in a determinate price level.","It can be shown that if the monetary policymaker puts a high weight on slack in the economy, a weight on inflation that is less than one can still result in a determinate price level (Gali, 2008).",NA,can,NA,PRESENT,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_42
positive trend inflation,region of determinacy shrinks,"With positive trend inflation, the region of determinacy shrinks quickly to cover only increasingly high inflation weights.","Ascari & Sbordone (2014) show that with positive trend inflation, the region of determinacy shrinks quickly to cover only increasingly high inflation weights.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_43
minor amounts of myopia,rules out indeterminacy problem,Introducing only minor amounts of myopia rules out the problem of indeterminacy prevalent in models with infinitely forward-looking agents.,"On the other hand, Angeletos & Lian (2021) find that introducing only minor amounts of myopia rules out the problem of indeterminacy prevalent in models with infinitely forward-looking agents.",NA,NA,NA,PRESENT,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_44
long-term factors such as demographics,falling equilibrium rate,It is widely accepted that this has been falling for quite a while due to long-term factors such as demographics.,"It is widely accepted that this has been falling for quite a while due to long- term factors such as demographics (Vlieghe, 2021) but can also be affected by more medium-term headwinds.",NA,NA,for quite a while,PAST,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_45
medium-term headwinds,falling equilibrium rate,The equilibrium rate can also be affected by more medium-term headwinds.,"It is widely accepted that this has been falling for quite a while due to long- term factors such as demographics (Vlieghe, 2021) but can also be affected by more medium-term headwinds.",NA,can,NA,PRESENT,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_46
falling equilibrium rate,measured real yields fall over time,Measured real yields would have to fall over time just to stand still as the equilibrium rate falls.,"Therefore, also measured real yields would have to fall over time just to stand still.",NA,NA,over time,FUTURE,speech_16652_batch_3,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_47
changes in monetary policy,changes in inflation,changes in monetary policy take 18 to 24 months to affect inflation,"In the central banking world, 18 to 24 months is often quoted as how long it takes for changes in monetary policy to feed through to inflation, even as certainly this effect accumulates over that timeframe.",18 to 24 months,NA,over that timeframe,PRESENT,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_0
changes in monetary policy,changes in inflation,changes in monetary policy take 18 to 24 months to affect inflation,"In the central banking world, 18 to 24 months is often quoted as how long it takes for changes in monetary policy to feed through to inflation, even as certainly this effect accumulates over that timeframe.",18 to 24 months,NA,NA,PRESENT,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_1
raising Bank Rate,tightening of monetary conditions,raising Bank Rate tightens monetary conditions,"Over the last year and a half, monetary conditions have tightened significantly over a short period of time, in response to the MPCs Bank Rate increases.",NA,NA,over a short period of time,PAST,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_2
tightening in financial conditions,households cut back on consumption,"tightening in financial conditions increases borrowing costs, leading households to cut back on consumption","But to start the transmission process, a tightening in financial conditions should mean households cut back on consumption as the cost of borrowing rises, and the opportunity cost of spending increases as saving rates rise.",NA,should,NA,PRESENT,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_3
tightening in financial conditions,firms reduce investment,"tightening in financial conditions increases borrowing costs, leading firms to reduce investment","Firms may reduce investment, both in response to rising borrowing costs, and in anticipation of worsening demand conditions.",NA,may,NA,PRESENT,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_4
higher interest rates,downward effect on equity prices,"higher interest rates increase the discount factor, leading to a downward effect on equity prices",The MPCs tightening in monetary policy has had a considerable downward effect on equity prices over the last twelve months.,NA,NA,over the last twelve months,PAST,speech_16653_batch_0,16653,batch_695a66aaa74c81908916927aba923bea,16653_5
shareholder payout,positive contribution to equity prices,shareholder payout increases equity prices by providing realised cash flows and future payout expectations,"But Chart 4 shows that, in fact, shareholder payout and most notably the equity risk premium have made a positive contribution to equity prices since the beginning of last year.",NA,NA,since the beginning of last year,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_6
equity risk premium,positive contribution to equity prices,equity risk premium increases equity prices by affecting investor expectations,"But Chart 4 shows that, in fact, shareholder payout and most notably the equity risk premium have made a positive contribution to equity prices since the beginning of last year.",NA,NA,since the beginning of last year,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_7
monetary policy tightening through interest rates,effects on equity prices,monetary policy tightening through interest rates affects equity prices by increasing borrowing costs,These have outweighed the effects of monetary policy tightening through interest rates.,NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_8
MPC's tightening efforts,offset by equity risk premium,MPC's tightening efforts are offset by equity risk premium reducing the intended impact on financial conditions,It seems that the MPCs tightening efforts have been in part offset by this risk premium.,NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_9
rise in UK interest rates,Sterling appreciation,rise in UK interest rates should cause Sterling to appreciate due to interest rate differentials,"All other things being equal, a rise in UK interest rates should cause Sterling to appreciate relative to other currencies - but we see a marked depreciation instead.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_10
Federal Reserve tightening,Sterling depreciation,Federal Reserve tightening causes Sterling depreciation by increasing the relative attractiveness of the Dollar,"This in part reflects the Federal Reserve tightening, particularly at a quicker pace than the MPC, but also a better macroeconomic outlook in the US.",NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_11
better macroeconomic outlook in the US,Sterling depreciation,better macroeconomic outlook in the US causes Sterling depreciation by increasing demand for Dollar assets,"This in part reflects the Federal Reserve tightening, particularly at a quicker pace than the MPC, but also a better macroeconomic outlook in the US.",NA,NA,NA,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_12
MPC not tightening,weaker exchange rate,MPC not tightening would have led to a weaker exchange rate by reducing the relative attractiveness of Sterling,"On the other hand, the aqua bars, reflecting the pricing of UK policy and domestic macroeconomic factors, have increased, suggesting that had the MPC not tightened, the exchange rate likely would have been even weaker.",NA,likely,NA,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_13
persistent UK-specific risk premium,reduced appetite for Sterling assets,persistent UK-specific risk premium reduces appetite for Sterling assets by increasing perceived risk,"Another factor weighing on Sterling, as seen through the lens of this model, is a persistent UK-specific risk premium which captures the reduced appetite for Sterling assets more broadly, that is, apparently, unrelated to direct pricing of monetary policy and future macroeconomic conditions.",NA,apparently,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_14
depreciation of Sterling,looser financial conditions,depreciation of Sterling causes looser financial conditions by reducing the cost of exports and increasing inflationary pressures,"Financial conditions are looser relative to what they might be otherwise, due to the depreciation of Sterling and a falling equity risk premium, which have global factors embedded in them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_15
falling equity risk premium,looser financial conditions,falling equity risk premium causes looser financial conditions by reducing the cost of capital,"Financial conditions are looser relative to what they might be otherwise, due to the depreciation of Sterling and a falling equity risk premium, which have global factors embedded in them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_16
forward-looking nature of financial markets,absorbing some of the intended tightening,forward-looking nature of financial markets absorbs some of the intended tightening by anticipating future policy changes,"To me, as both the level as well as the delta matter in assessing the effectiveness of transmission of monetary policy, this implies that the forward-looking nature of financial markets has been absorbing some of the intended tightening, which impact the long and variable lags of folk wisdom.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_17
monetary policy,changes in interest rate,monetary policy affects the state of the macroeconomy by changing the interest rate,"Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_18
monetary policy,changes in borrowing costs,monetary policy affects the state of the macroeconomy by changing borrowing costs,"Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_19
monetary policy,"influencing spending, investment and saving behaviour","monetary policy influences spending, investment and saving behaviour by changing borrowing costs and expectations","Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_20
monetary policy,"influencing expectations, wage and price setting","monetary policy influences expectations, wage and price setting by changing borrowing costs and expectations","Monetary policy can affect the state of the macroeconomy by changing the interest rate, changing borrowing costs in the economy, and thereby influencing spending, investment and saving behaviour, including expectations, wage and price setting.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_21
central bank observes high inflation,setting tighter monetary policy,central bank observes high inflation and reacts by setting tighter monetary policy,"But through the reaction function, monetary policy will be affected by developments in the macroeconomy: if a central bank observes high inflation, policymakers should react by setting tighter monetary policy.",NA,should,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_22
tightening monetary policy,increase in inflation,tightening monetary policy resulted in an increase in inflation due to endogenous policy responses,"Failing to properly account for this empirical modelling challenge resulted in the famous price puzzle: Empirical models predicted that tightening monetary policy resulted in an increase, not a decrease in inflation, at least in the short run.",NA,NA,at least in the short run,PAST,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_23
monetary policy shock,persistent effect on 1-year nominal interest rate,monetary policy shock has a persistent effect on the 1-year nominal interest rate by changing expectations,"Starting by looking at the top left panel, a 100 basis point monetary policy shock has a persistent effect on the 1-year nominal interest rate, lasting for around twelve months after the shock hits.",100 basis point,NA,lasting for around twelve months,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_24
monetary policy shock,appreciates the Sterling exchange rate index,monetary policy shock appreciates the Sterling exchange rate index by affecting interest rate differentials,"The top right-hand panel shows the monetary policy shock also appreciates the Sterling exchange rate index, with a peak effect at two to three months following the shock, consistent with the effect on the 1-year nominal interest rate.",NA,NA,at two to three months following the shock,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_25
monetary policy shock,delayed response on the level of real GDP,monetary policy shock causes a delayed response on the level of real GDP by affecting spending and investment,"The monetary policy shock also has a significant, delayed response on the level of real GDP, which is consistent with the story on monetary policy lags, but also New Keynesian theory that GDP lags inflation.",-1.25%,NA,after around two years,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_26
contractionary monetary policy,permanently negative effect on the level of output relative to trend,contractionary monetary policy has a permanently negative effect on the level of output relative to trend by reducing demand,The results also suggest a permanently negative effect of contractionary monetary policy on the level of output relative to trend.,NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_27
monetary policy shock,negative effect on the level of CPI,monetary policy shock has a negative effect on the level of CPI by appreciating the exchange rate,"Turning now to the bottom right panel, the effect on the level of CPI is not only statistically significant and negative, but also instantaneous.",NA,NA,instantaneous,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_28
announced changes in the monetary policy rate,firms revise their price expectations,announced changes in the monetary policy rate induce firms to revise their price expectations by affecting future cost expectations,"See Di Pace et al. (2023) who analyse firm expectations in particular, and find that announced changes in the monetary policy rate induce firms to revise their price expectations, with rate hikes inducing a decrease in price expectations and uncertainty surrounding them.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_29
higher degree of backward-lookingness,more inflation persistence,higher degree of backward-lookingness generates more inflation persistence by affecting expectations formation,"In this model, I find that, indeed, a higher degree of backward-lookingness generates more inflation persistence even if the underlying shock is the same.",NA,NA,NA,PRESENT,speech_16653_batch_1,16653,batch_695a66aaa74c81908916927aba923bea,16653_30
changes in the effectiveness of monetary policy,control of inflation,The effectiveness of monetary policy affects its ability to control inflation.,"But, crucially, it also changes the effectiveness of monetary policy to control inflation.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_31
monetary tightening,less effect on inflation,Monetary tightening has less effect on inflation if expectations are backward-looking.,"A given monetary tightening has less of an effect on inflation if expectations formation is mainly backward-looking, detached from demand and supply conditions, which thereby worsens any inflation-activity trade-off in the face of a shock.",NA,if,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_32
backward-looking expectations formation,worsened inflation-activity trade-off,Backward-looking expectations formation worsens the inflation-activity trade-off.,"A given monetary tightening has less of an effect on inflation if expectations formation is mainly backward-looking, detached from demand and supply conditions, which thereby worsens any inflation-activity trade-off in the face of a shock.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_33
energy prices surge,higher share of backward-looking agents,Energy price surges increase the share of backward-looking agents.,"Cornea-Madeira and Madeira (2022) show empirically that for the UK the share of backward-looking agents has varied significantly over time, in particular being higher when energy prices surge.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_34
cost-push shock,exogenous increase in prices,A cost-push shock exogenously increases prices beyond domestic demand conditions.,"Returning to the model, we can trace out the response of our model economy to the same underlying shock: a so-called cost-push shock which exogenously increases prices over and above what would be implied by domestic demand conditions.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_35
lagged nature of year-on-year inflation,inflation peaks after four quarters,The lagged nature of year-on-year inflation causes it to peak after four quarters.,"Because of the lagged nature of year-on-year inflation (Mann, 2023), it peaks after four quarters and then reverts towards target.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_36
modest degree of backward-looking inflation expectations formation,output gap more negative for longer,Backward-looking inflation expectations formation makes the output gap more negative for longer.,The behaviours of the output gap and inflation change dramatically when we introduce a modest degree of backward-looking inflation expectations formation.,NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_37
modest degree of backward-looking inflation expectations formation,inflation peaking higher and remaining above target,Backward-looking inflation expectations formation causes inflation to peak higher and remain above target.,The output gap is more negative for longer which is mirrored in inflation peaking higher and remaining above target for an extended period of time.,NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_38
increasing share of backward-looking agents,pronounced hump-shaped pattern in output and inflation,An increasing share of backward-looking agents causes a pronounced hump-shaped pattern in output and inflation.,Increasing the share of backward-looking agents even more takes this pattern to the extreme.,NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_39
