,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Serey Chea,"{  ""Date_of_birth"": ""1981-04-25"",  ""Bachelor_institution"": ""Victoria University of Wellington"",  ""Bachelor_year"": ""1999"",  ""PhD_institution"": ""University of Adelaide"",  ""PhD_year"": ""2021"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Chea_Serey"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Chea_Serey"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Chea_Serey"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Chea_Serey"",    ""PhD_year"": ""https://en.wikipedia.org/wiki/Chea_Serey"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Chea_Serey""  }} ","{'Date_of_birth': '1981-04-25', 'Bachelor_institution': 'Victoria University of Wellington', 'Bachelor_year': '1999', 'PhD_institution': 'University of Adelaide', 'PhD_year': '2021', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Chea_Serey', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Chea_Serey', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_institution': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_year': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Chea_Serey'}}",1981-04-25,Victoria University of Wellington,1999,University of Adelaide,2021,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Chea_Serey', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Chea_Serey', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_institution': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_year': 'https://en.wikipedia.org/wiki/Chea_Serey', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Chea_Serey'}",True,1981-04-25,1981-04-25 00:00:00
Lacey Dingman,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""University of Iowa"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": ""https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820"",    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'University of Iowa', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': None, 'Bachelor_institution': 'https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820'}}",,University of Iowa,,,,,Bachelor's degree,"{'Date_of_birth': None, 'Bachelor_institution': 'https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.newyorkfed.org/newsevents/news/aboutthefed/2019/20190820'}",False,,
LS Ipangelwa,"{  ""Date_of_birth"": ""1955-06-20"",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""MBA in International Banking & Finance"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa"",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa""  }} ","{'Date_of_birth': '1955-06-20', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'MBA in International Banking & Finance', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa'}}",1955-06-20,,,,,,MBA in International Banking & Finance,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Lazarus_Shinyemba_Ipangelwa'}",False,1955-06-20,1955-06-20 00:00:00
Lee Foulger,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": None,  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None, 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",,,,,,,,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,
Lea Paterson,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": None,  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None, 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",,,,,,,,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,1972-10-21
Lcia Leito,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": None,  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": None,    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": None  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None, 'Sources': {'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None}}",,,,,,,,"{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None}",False,,
Laura Ayala de Flores,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Universidad de El Salvador"",  ""Bachelor_year"": ""2004"",  ""PhD_institution"": ""Universidad de El Salvador"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Candidato a Doctor en Ciencias Económicas"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.transparencia.gob.sv/institutions/bcr/officials/14544"",    ""Bachelor_year"": ""https://www.transparencia.gob.sv/institutions/bcr/officials/14544"",    ""PhD_institution"": ""https://www.transparencia.gob.sv/institutions/bcr/officials/14544"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.transparencia.gob.sv/institutions/bcr/officials/14544""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Universidad de El Salvador', 'Bachelor_year': '2004', 'PhD_institution': 'Universidad de El Salvador', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Candidato a Doctor en Ciencias Económicas', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'Bachelor_year': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'PhD_institution': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544'}}",,Universidad de El Salvador,2004,Universidad de El Salvador,,,Candidato a Doctor en Ciencias Económicas,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'Bachelor_year': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'PhD_institution': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.transparencia.gob.sv/institutions/bcr/officials/14544'}",False,,
Liana Caballero Krause,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Universidad Católica Nuestra Señora de la Asunción"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree in Economics"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Universidad Católica Nuestra Señora de la Asunción', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree in Economics"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/'}}",,Universidad Católica Nuestra Señora de la Asunción,,,,,Master's degree in Economics,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.lanacion.com.py/negocios/2023/08/16/pena-designo-a-liana-caballero-como-miembro-del-directorio-del-bcp/'}",False,,
Leif Eide,"{  ""Date_of_birth"": ""1939"",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": """",  ""Sources"": {    ""Date_of_birth"": ""https://www.norges-bank.no/en/news-events/news-publications/Press-releases/1998/prm19980128161700html/"",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': '1939', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': '', 'Sources': {'Date_of_birth': 'https://www.norges-bank.no/en/news-events/news-publications/Press-releases/1998/prm19980128161700html/', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",1939,,,,,,,"{'Date_of_birth': 'https://www.norges-bank.no/en/news-events/news-publications/Press-releases/1998/prm19980128161700html/', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,1939-01-01,1939-01-01 00:00:00
Lee-Lim sa,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": """",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': '', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",,,,,,,,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,
Liu Tinghuan,"{  ""Date_of_birth"": ""1942"",  ""Bachelor_institution"": ""None"",  ""Bachelor_year"": ""None"",  ""PhD_institution"": ""None"",  ""PhD_year"": ""None"",  ""PhD_thesis_director"": ""None"",  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": ""https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y"",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y""  }} ","{'Date_of_birth': '1942', 'Bachelor_institution': 'None', 'Bachelor_year': 'None', 'PhD_institution': 'None', 'PhD_year': 'None', 'PhD_thesis_director': 'None', 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': 'https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y'}}",1942,None,None,None,None,None,Bachelor's degree,"{'Date_of_birth': 'https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://1library.net/article/working-experience-active-directors-supervisors-senior-management-directors.y4mer39y'}",False,1942-01-01,1942-01-01 00:00:00
Liu Shiyu,"{  ""Date_of_birth"": ""November 1961"",  ""Bachelor_institution"": ""Tsinghua University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree in engineering and management"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Liu_Shiyu"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Liu_Shiyu"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Liu_Shiyu""  }} ","{'Date_of_birth': 'November 1961', 'Bachelor_institution': 'Tsinghua University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree in engineering and management"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Liu_Shiyu', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Liu_Shiyu', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Liu_Shiyu'}}",November 1961,Tsinghua University,,,,,Master's degree in engineering and management,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Liu_Shiyu', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Liu_Shiyu', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Liu_Shiyu'}",False,1961-11-01,1961-11-01 00:00:00
Katharine Braddick,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""University of Warwick"",  ""Bachelor_year"": """",  ""PhD_institution"": ""University of Cambridge"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.bruegel.org/people/katharine-braddick"",    ""Bachelor_year"": """",    ""PhD_institution"": ""https://www.bruegel.org/people/katharine-braddick"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bruegel.org/people/katharine-braddick""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'University of Warwick', 'Bachelor_year': '', 'PhD_institution': 'University of Cambridge', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.bruegel.org/people/katharine-braddick', 'Bachelor_year': '', 'PhD_institution': 'https://www.bruegel.org/people/katharine-braddick', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bruegel.org/people/katharine-braddick'}}",,University of Warwick,,University of Cambridge,,,PhD,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.bruegel.org/people/katharine-braddick', 'Bachelor_year': '', 'PhD_institution': 'https://www.bruegel.org/people/katharine-braddick', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bruegel.org/people/katharine-braddick'}",True,,1974-06-02
Kasiviswanathan Shanmugam,"{  ""Date_of_birth"": ""1959-03-26"",  ""Bachelor_institution"": ""National University of Singapore"",  ""Bachelor_year"": ""1984"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/K._Shanmugam"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/K._Shanmugam"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/K._Shanmugam"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/K._Shanmugam""  }} ","{'Date_of_birth': '1959-03-26', 'Bachelor_institution': 'National University of Singapore', 'Bachelor_year': '1984', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'Bachelor_year': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/K._Shanmugam'}}",1959-03-26,National University of Singapore,1984,,,,Bachelor's degree,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'Bachelor_year': 'https://en.wikipedia.org/wiki/K._Shanmugam', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/K._Shanmugam'}",False,1959-03-26,1959-03-26 00:00:00
Karsten Biltoft,"{  ""Date_of_birth"": ""1961"",  ""Bachelor_institution"": ""Københavns Universitet - University of Copenhagen"",  ""Bachelor_year"": """",  ""PhD_institution"": ""UC Santa Barbara"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://fs.dk/annualreports/2023/board-of-directors-and-management-board.html"",    ""Bachelor_institution"": ""https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft"",    ""Bachelor_year"": """",    ""PhD_institution"": ""https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft""  }} ","{'Date_of_birth': '1961', 'Bachelor_institution': 'Københavns Universitet - University of Copenhagen', 'Bachelor_year': '', 'PhD_institution': 'UC Santa Barbara', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://fs.dk/annualreports/2023/board-of-directors-and-management-board.html', 'Bachelor_institution': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft', 'Bachelor_year': '', 'PhD_institution': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft'}}",1961,Københavns Universitet - University of Copenhagen,,UC Santa Barbara,,,PhD in Economics,"{'Date_of_birth': 'https://fs.dk/annualreports/2023/board-of-directors-and-management-board.html', 'Bachelor_institution': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft', 'Bachelor_year': '', 'PhD_institution': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://theorg.com/org/danmarks-nationalbank/org-chart/karsten-biltoft'}",True,1961-01-01,1961-01-01 00:00:00
Karen slaug Vignisdttir,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""University of Iceland"",  ""Bachelor_year"": ""2003"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/"",    ""Bachelor_year"": ""https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'University of Iceland', 'Bachelor_year': '2003', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/', 'Bachelor_year': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/'}}",,University of Iceland,2003,,,,Master's degree,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/', 'Bachelor_year': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.cb.is/publications/news/news/2025/01/20/Karen-Aslaug-Vignisdottir-appointed-acting-Chief-Economist-and-Director-of-Economics-and-Monetary-Policy/'}",False,,
Kamran Shehzad,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.sbp.org.pk/about/governors/profile3.htm""  }} ","{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.sbp.org.pk/about/governors/profile3.htm'}}",,,,,,,Master's degree,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.sbp.org.pk/about/governors/profile3.htm'}",False,,
